City ID,City Name,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Max Temperature,Wind Speed
0,San Patricio,40,MX,1580090341,74,19.22,-104.7,80.6,9.17
1,Weligama,96,LK,1580090341,74,5.97,80.42,77.61,4.61
2,Tasiilaq,100,GL,1580090341,50,65.61,-37.64,28.4,2.24
3,Bredasdorp,67,ZA,1580089914,76,-34.53,20.04,55.4,1.12
4,Chokurdakh,98,RU,1580090006,96,70.63,147.92,-26.28,4.59
5,Cape Town,40,ZA,1580089795,87,-33.93,18.42,61.0,5.82
6,Bengkulu,99,ID,1580089581,62,-3.8,102.27,85.35,2.86
7,Dikson,99,RU,1580089841,96,73.51,80.55,-5.22,3.65
8,Tabou,37,CI,1580090342,93,4.42,-7.35,77.22,2.39
9,Constitucion,11,CL,1580089775,71,-35.33,-72.42,62.73,7.27
10,Tura,0,IN,1580090048,55,25.52,90.22,64.17,3.44
11,Carupano,50,VE,1580090044,89,10.67,-63.26,67.86,3.22
12,Atuona,67,PF,1580089769,70,-9.8,-139.03,81.25,8.68
13,San Ignacio,40,BZ,1580090343,83,17.16,-89.07,75.2,3.02
14,Yulara,0,AU,1580090103,12,-25.24,130.99,95.0,16.11
15,Carnarvon,0,AU,1580090012,83,-24.87,113.63,80.6,13.87
16,Yellowknife,90,CA,1580089824,84,62.46,-114.35,1.4,5.82
17,Saldanha,12,ZA,1580090046,82,-33.01,17.94,55.4,5.82
18,Albany,90,US,1580090343,86,42.6,-73.97,39.2,10.29
19,Beloha,2,MG,1580090051,67,-25.17,45.05,73.08,7.81
20,Hithadhoo,100,MV,1580089996,82,-0.6,73.08,81.75,13.02
21,Rikitea,14,PF,1580090000,79,-23.12,-134.97,79.34,11.39
22,Weiser,20,US,1580090344,87,44.25,-116.97,42.8,3.24
23,Port Lincoln,12,AU,1580090108,56,-34.73,135.87,70.61,11.86
24,Torbay,90,CA,1580090060,58,47.67,-52.73,28.0,5.82
25,Aklavik,90,CA,1580090344,68,68.22,-135.01,-18.4,6.93
26,Pangnirtung,100,CA,1580090344,99,66.15,-65.71,-38.47,1.97
27,New Norfolk,75,AU,1580090246,42,-42.78,147.06,66.99,12.75
28,Kihei,20,US,1580090345,48,20.79,-156.47,84.2,12.75
29,Rabo de Peixe,40,PT,1580090345,82,37.8,-25.58,62.6,13.87
30,Shingu,75,JP,1580090345,81,33.73,135.98,50.0,4.7
31,Agua Verde,5,MX,1580090345,68,22.9,-106.05,73.0,8.05
32,Mergen,98,CN,1580090345,95,49.18,125.22,5.34,6.17
33,Mount Gambier,100,AU,1580089833,46,-37.83,140.77,69.8,11.41
34,Kapaa,1,US,1580090105,74,22.08,-159.32,80.6,10.29
35,Jamestown,90,US,1580089785,92,42.1,-79.24,33.8,12.75
36,Pandamatenga,34,BW,1580090345,78,-18.53,25.63,67.89,2.86
37,Ponta do Sol,20,PT,1580089878,72,32.67,-17.1,59.0,6.93
38,Mareeba,75,AU,1580090346,74,-17.0,145.43,90.0,8.05
39,Qaanaaq,0,GL,1580089806,53,77.48,-69.36,-10.32,4.09
40,Faya,0,SA,1580090094,44,18.39,42.45,42.8,4.0
41,Dovolnoye,100,RU,1580090346,90,54.5,79.67,18.09,25.03
42,Faanui,45,PF,1580090346,71,-16.48,-151.75,83.64,10.02
43,Balarampur,0,IN,1580090346,87,23.12,86.22,48.2,3.27
44,Bilma,60,NE,1580090346,13,18.69,12.92,60.62,7.85
45,Departamento de Maldonado,33,UY,1580090347,94,-34.67,-54.92,69.8,5.82
46,Vaini,40,TO,1580090000,79,-21.2,-175.2,84.2,6.93
47,San Cristobal,40,VE,1580090023,78,7.77,-72.22,77.0,2.24
48,Zeya,100,RU,1580090347,92,53.75,127.27,-8.79,3.67
49,Kodiak,40,US,1580090166,57,57.79,-152.41,17.6,4.7
50,Port Elizabeth,17,ZA,1580090193,75,-33.92,25.57,60.94,8.68
51,Nouadhibou,0,MR,1580090146,67,20.93,-17.03,62.6,17.22
52,South River,1,US,1580090347,60,40.45,-74.39,42.8,8.55
53,Ushuaia,40,AR,1580090164,70,-54.8,-68.3,48.2,5.82
54,Vila Franca do Campo,40,PT,1580090063,82,37.72,-25.43,62.6,13.87
55,Makakilo City,20,US,1580090348,61,21.35,-158.09,84.2,10.29
56,Boyolangu,0,ID,1580090348,65,-8.12,111.89,86.34,2.42
57,Kargasok,100,RU,1580089991,93,59.06,80.86,13.46,16.24
