City ID,base,clouds.all,cod,coord.lat,coord.lon,dt,id,main.feels_like,main.grnd_level,main.humidity,main.pressure,main.sea_level,main.temp,main.temp_max,main.temp_min,name,rain.1h,rain.3h,snow.1h,snow.3h,sys.country,sys.id,sys.sunrise,sys.sunset,sys.type,timezone,visibility,weather,wind.deg,wind.gust,wind.speed
0,stations,40,200,19.22,-104.7,1580090341,3985168,83.86,,74,1014,,80.6,80.6,80.6,San Patricio,,,,,MX,7166.0,1580045677,1580086059,1.0,-21600,19312.0,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}]",300.0,,9.17
1,model,96,200,5.97,80.42,1580090341,1223738,81.99,1010.0,74,1014,1014.0,77.61,77.61,77.61,Weligama,,,,,LK,,1580086520,1580129172,,19800,,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",71.0,,4.61
2,stations,100,200,65.61,-37.64,1580090341,3424607,21.51,,50,981,,28.4,28.4,28.4,Tasiilaq,,,,0.5,GL,81.0,1580039117,1580060425,1.0,-10800,,"[{'id': 600, 'main': 'Snow', 'description': 'light snow', 'icon': '13n'}]",,,2.24
3,stations,67,200,-34.53,20.04,1580089914,1015776,54.32,,76,1024,,55.4,55.4,55.4,Bredasdorp,,,,,ZA,1966.0,1580097262,1580147417,1.0,7200,,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",310.0,,1.12
4,model,98,200,70.63,147.92,1580090006,2126123,-35.84,1024.0,96,1025,1025.0,-26.28,-26.28,-26.28,Chokurdakh,,,,,RU,,1580085985,1580097301,,39600,,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",218.0,,4.59
5,stations,40,200,-33.93,18.42,1580089795,3369157,57.13,,87,1023,,58.86,61.0,57.0,Cape Town,,,,,ZA,1899.0,1580097726,1580147731,1.0,7200,10000.0,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}]",210.0,,5.82
6,model,99,200,-3.8,102.27,1580089581,1649150,91.8,993.0,62,1011,1011.0,85.35,85.35,85.35,Bengkulu,,,,,ID,,1580080482,1580124720,,25200,,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",266.0,,2.86
7,model,99,200,73.51,80.55,1580089841,1507390,-13.81,1008.0,96,1009,1009.0,-5.22,-5.22,-5.22,Dikson,,,,,RU,,0,0,,25200,,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",172.0,,3.65
8,model,37,200,4.42,-7.35,1580090342,2281120,86.23,1009.0,93,1012,1012.0,77.22,77.22,77.22,Tabou,,,,,CI,,1580107460,1580150367,,0,,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}]",206.0,,2.39
9,model,11,200,-35.33,-72.42,1580089775,3893726,59.61,998.0,71,1016,1016.0,62.73,62.73,62.73,Constitucion,,,,,CL,,1580032903,1580083336,,-10800,,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",179.0,,7.27
